rank	elementId	shadow62Decision	shadow64Decision	beforeHeight	afterHeight	heightDelta	beforeArea	afterArea	areaDelta	beforePath	afterPath	passFail	reason
1	selbrum_maison_3	keep	keep	23.483648	17.483648	-6.000000	11219.487550	8352.942910	-2866.544640	reports/shadows/screenshots/shadow62_contact_ledge_1_selbrum_maison_3.png	reports/shadows/screenshots/shadow64_contact_ledge_1_selbrum_maison_3.png	pass	previous keep remains present, aligned, and not visually worse after 6 px depth reduction
2	selbrum_maison_4	retune-next	keep-provisional	22.985984	16.985984	-6.000000	6863.578045	5071.987645	-1791.590400	reports/shadows/screenshots/shadow62_contact_ledge_2_selbrum_maison_4.png	reports/shadows/screenshots/shadow64_contact_ledge_2_selbrum_maison_4.png	pass	retune-next ledge is 6 px shallower and reads more subtle on the same crop
3	selbrum_maison_1	keep	keep	22.985984	16.985984	-6.000000	6863.578045	5071.987645	-1791.590400	reports/shadows/screenshots/shadow62_contact_ledge_3_selbrum_maison_1.png	reports/shadows/screenshots/shadow64_contact_ledge_3_selbrum_maison_1.png	pass	previous keep remains present, aligned, and not visually worse after 6 px depth reduction
4	selbrume_centre_pok_mon	keep	keep	22.985984	16.985984	-6.000000	10981.724872	8115.180232	-2866.544640	reports/shadows/screenshots/shadow62_contact_ledge_4_selbrume_centre_pok_mon.png	reports/shadows/screenshots/shadow64_contact_ledge_4_selbrume_centre_pok_mon.png	pass	previous keep remains present, aligned, and not visually worse after 6 px depth reduction
5	selbrum_maison_7	retune-next	keep-provisional	22.985984	16.985984	-6.000000	8236.293654	6086.385174	-2149.908480	reports/shadows/screenshots/shadow62_contact_ledge_5_selbrum_maison_7.png	reports/shadows/screenshots/shadow64_contact_ledge_5_selbrum_maison_7.png	pass	retune-next ledge is 6 px shallower and reads more subtle on the same crop
6	le_puits	keep	keep	22.488320	16.488320	-6.000000	5371.981097	3938.708777	-1433.272320	reports/shadows/screenshots/shadow62_contact_ledge_6_le_puits.png	reports/shadows/screenshots/shadow64_contact_ledge_6_le_puits.png	pass	previous keep remains present, aligned, and not visually worse after 6 px depth reduction
7	selbrum_maison_4	retune-next	keep-provisional	22.985984	16.985984	-6.000000	6863.578045	5071.987645	-1791.590400	reports/shadows/screenshots/shadow62_contact_ledge_7_selbrum_maison_4.png	reports/shadows/screenshots/shadow64_contact_ledge_7_selbrum_maison_4.png	pass	retune-next ledge is 6 px shallower and reads more subtle on the same crop
8	selbrum_maison_2	keep	keep	23.483648	17.483648	-6.000000	8414.615663	6264.707183	-2149.908480	reports/shadows/screenshots/shadow62_contact_ledge_8_selbrum_maison_2.png	reports/shadows/screenshots/shadow64_contact_ledge_8_selbrum_maison_2.png	pass	previous keep remains present, aligned, and not visually worse after 6 px depth reduction
9	selbrum_maison_8	keep	keep	22.985984	16.985984	-6.000000	15099.871699	11158.372819	-3941.498880	reports/shadows/screenshots/shadow62_contact_ledge_9_selbrum_maison_8.png	reports/shadows/screenshots/shadow64_contact_ledge_9_selbrum_maison_8.png	pass	previous keep remains present, aligned, and not visually worse after 6 px depth reduction
10	kiosque_l_gumes	retune-next	keep-provisional	22.985984	16.985984	-6.000000	8236.293654	6086.385174	-2149.908480	reports/shadows/screenshots/shadow62_contact_ledge_10_kiosque_l_gumes.png	reports/shadows/screenshots/shadow64_contact_ledge_10_kiosque_l_gumes.png	pass	retune-next ledge is 6 px shallower and reads more subtle on the same crop
