rank	kind	elementId	baselinePath	currentPath	baselineSha256	currentSha256	exactHashMatch	baselineFileSizeBytes	currentFileSizeBytes	baselineWidth	baselineHeight	currentWidth	currentHeight	status
	overview		/Users/karim/Project/pokemonProject/reports/shadows/baselines/selbrume_shadow_v1/selbrume_overview.png	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_selbrume_overview.png	5f9d2c779c8fdd17dbe888f79874ba8823ce62801c560d577b4f8cfb1bce8a25	5f9d2c779c8fdd17dbe888f79874ba8823ce62801c560d577b4f8cfb1bce8a25	true	2529901	2529901	1320	1320	1320	1320	match
1	contactLedge	selbrum_maison_3	/Users/karim/Project/pokemonProject/reports/shadows/baselines/selbrume_shadow_v1/contact_ledge_01_selbrum_maison_3.png	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_contact_ledge_1_selbrum_maison_3.png	f941d9bead4676ae5c35709cae16cf28566eb4f127626af5becd4de317adbe48	f941d9bead4676ae5c35709cae16cf28566eb4f127626af5becd4de317adbe48	true	180911	180911	900	650	900	650	match
2	contactLedge	selbrum_maison_4	/Users/karim/Project/pokemonProject/reports/shadows/baselines/selbrume_shadow_v1/contact_ledge_02_selbrum_maison_4.png	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_contact_ledge_2_selbrum_maison_4.png	c5d9d4fe203baeedafe71275be0460f06d7929aa21aaf794ef736a0b0b710472	c5d9d4fe203baeedafe71275be0460f06d7929aa21aaf794ef736a0b0b710472	true	168205	168205	900	650	900	650	match
3	contactLedge	selbrum_maison_1	/Users/karim/Project/pokemonProject/reports/shadows/baselines/selbrume_shadow_v1/contact_ledge_03_selbrum_maison_1.png	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_contact_ledge_3_selbrum_maison_1.png	27d4bb763c7bab07d5355828041ab357c456d27b1fb207431b35abded08ae4dd	27d4bb763c7bab07d5355828041ab357c456d27b1fb207431b35abded08ae4dd	true	181666	181666	900	650	900	650	match
4	contactLedge	selbrume_centre_pok_mon	/Users/karim/Project/pokemonProject/reports/shadows/baselines/selbrume_shadow_v1/contact_ledge_04_selbrume_centre_pok_mon.png	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_contact_ledge_4_selbrume_centre_pok_mon.png	4ef8b44a2548b855ac7414ba6cee55fd124e6e0c2dddd3786a4add2b0db94a3a	4ef8b44a2548b855ac7414ba6cee55fd124e6e0c2dddd3786a4add2b0db94a3a	true	162048	162048	900	650	900	650	match
5	contactLedge	selbrum_maison_7	/Users/karim/Project/pokemonProject/reports/shadows/baselines/selbrume_shadow_v1/contact_ledge_05_selbrum_maison_7.png	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_contact_ledge_5_selbrum_maison_7.png	568955c97486474a1f5a735f2a39c9435d4e2b3efd4a26c4fefe80d7caa23530	568955c97486474a1f5a735f2a39c9435d4e2b3efd4a26c4fefe80d7caa23530	true	177970	177970	900	650	900	650	match
6	contactLedge	le_puits	/Users/karim/Project/pokemonProject/reports/shadows/baselines/selbrume_shadow_v1/contact_ledge_06_le_puits.png	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_contact_ledge_6_le_puits.png	eb2216c6f3cf917e228075950d2dc60308a798a31fd29a4dab021b6902bf384a	eb2216c6f3cf917e228075950d2dc60308a798a31fd29a4dab021b6902bf384a	true	146654	146654	900	650	900	650	match
7	contactLedge	selbrum_maison_4	/Users/karim/Project/pokemonProject/reports/shadows/baselines/selbrume_shadow_v1/contact_ledge_07_selbrum_maison_4.png	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_contact_ledge_7_selbrum_maison_4.png	4a11b7d013b6a8295f11efe31742b6b0a41d7a5a9b61c233920e6d6d69823796	4a11b7d013b6a8295f11efe31742b6b0a41d7a5a9b61c233920e6d6d69823796	true	151150	151150	900	650	900	650	match
8	contactLedge	selbrum_maison_2	/Users/karim/Project/pokemonProject/reports/shadows/baselines/selbrume_shadow_v1/contact_ledge_08_selbrum_maison_2.png	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_contact_ledge_8_selbrum_maison_2.png	f87857012a218e37651bb937845acb94fdc94417e89e4c687885702dc3e5b7b8	f87857012a218e37651bb937845acb94fdc94417e89e4c687885702dc3e5b7b8	true	183159	183159	900	650	900	650	match
9	contactLedge	selbrum_maison_8	/Users/karim/Project/pokemonProject/reports/shadows/baselines/selbrume_shadow_v1/contact_ledge_09_selbrum_maison_8.png	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_contact_ledge_9_selbrum_maison_8.png	e153e08a9695f7d009456d02407776c402eecec5c99734406561bbded872e5f3	e153e08a9695f7d009456d02407776c402eecec5c99734406561bbded872e5f3	true	159359	159359	900	650	900	650	match
10	contactLedge	kiosque_l_gumes	/Users/karim/Project/pokemonProject/reports/shadows/baselines/selbrume_shadow_v1/contact_ledge_10_kiosque_l_gumes.png	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_contact_ledge_10_kiosque_l_gumes.png	57013cf3c072149f843d943f55e35dddf91fa2b460b9709e141899c128f0b2a4	57013cf3c072149f843d943f55e35dddf91fa2b460b9709e141899c128f0b2a4	true	158827	158827	900	650	900	650	match
