rank	elementId	elementName	placementIdOrIndex	worldX	worldY	cropLeft	cropTop	cropWidth	cropHeight	screenshotPath	shapeKind	geometryType	family	profile	opacity	instructionWidth	instructionHeight	instructionArea
1	selbrum_maison_3	selbrum maison 3	l_tile_maison_selbrume::24::12	2304.0	1152.0	2189.12128	1377.076352	900	650	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_contact_ledge_1_selbrum_maison_3.png	projectedPolygon	contactLedge	building	default-ground-wide-ellipse	0.2	477.7574400000003	17.483647999999903	8352.942910341078
2	selbrum_maison_4	selbrum maison  4	l_tile_maison_selbrume::17::17	1632.0	1632.0	1462.7008	1763.494016	900	650	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_contact_ledge_2_selbrum_maison_4.png	projectedPolygon	contactLedge	building	default-ground-wide-ellipse	0.2	298.59839999999986	16.985983999999917	5071.987644825573
3	selbrum_maison_1	selbrum maison 1	l_tile_maison_selbrume::10::18	960.0	1728.0	790.7008000000001	1859.494016	900	650	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_contact_ledge_3_selbrum_maison_1.png	projectedPolygon	contactLedge	building	default-ground-wide-ellipse	0.2	298.59839999999986	16.985983999999917	5071.987644825573
4	selbrume_centre_pok_mon	selbrume centre pokémon	l_tile_maison_selbrume::29::22	2784.0	2112.0	2669.12128	2243.494016	900	650	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_contact_ledge_4_selbrume_centre_pok_mon.png	projectedPolygon	contactLedge	building	default-ground-wide-ellipse	0.2	477.7574400000003	16.985983999999917	8115.180231720926
5	selbrum_maison_7	selbrum maison  7	l_tile_maison_selbrume::38::22	3648.0	2112.0	3496.84096	2243.494016	900	650	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_contact_ledge_5_selbrum_maison_7.png	projectedPolygon	contactLedge	building	default-ground-wide-ellipse	0.2	358.31807999999955	16.985983999999917	6086.3851737906825
6	le_puits	le puits	l_tile_maison_selbrume::23::27	2208.0	2592.0	2020.5606400000001	2629.91168	900	650	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_contact_ledge_6_le_puits.png	projectedPolygon	contactLedge	building	default-ground-wide-ellipse	0.2	238.8787199999997	16.48831999999993	3938.7087765503784
7	selbrum_maison_4	selbrum maison  4	l_tile_maison_selbrume::36::29	3456.0	2784.0	3286.7008	2915.494016	900	650	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_contact_ledge_7_selbrum_maison_4.png	projectedPolygon	contactLedge	building	default-ground-wide-ellipse	0.2	298.59839999999986	16.985983999999917	5071.987644825573
8	selbrum_maison_2	selbrum maison  2	l_tile_maison_selbrume::10::30	960.0	2880.0	808.84096	3105.076352	900	650	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_contact_ledge_8_selbrum_maison_2.png	projectedPolygon	contactLedge	building	default-ground-wide-ellipse	0.2	358.31808	17.483647999999903	6264.707182755806
9	selbrum_maison_8	selbrum maison  8	l_tile_maison_selbrume::18::33	1728.0	3168.0	1667.54176	3299.494016	900	650	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_contact_ledge_9_selbrum_maison_8.png	projectedPolygon	contactLedge	building	default-ground-wide-ellipse	0.2	656.9164799999999	16.985983999999917	11158.372818616263
10	kiosque_l_gumes	kiosque à légumes	l_tile_maison_selbrume::36::35	3456.0	3360.0	3304.84096	3491.494016	900	650	/Users/karim/Project/pokemonProject/reports/shadows/screenshots/shadow67_contact_ledge_10_kiosque_l_gumes.png	projectedPolygon	contactLedge	building	default-ground-wide-ellipse	0.2	358.31808	16.985983999999917	6086.385173790691
